Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
HDFC Bank Apps,2024,4,35.99,7689.44,0.0,0.0,0.01,0.32,35.99,7689.76
WhatsApp,2024,4,34.12,2815.68,0.0,0.0,0.0,0.0,34.12,2815.68
BHIM,2024,4,25.48,8670.52,0.0,0.0,0.0,0.0,25.48,8670.52
Yes Bank Apps,2024,4,21.99,11978.36,0.0,0.0,0.27,31.04,22.26,12009.4
Airtel Payments Bank Apps,2024,4,16.19,1243.65,0.0,0.0,0.0,0.4,16.19,1244.14
Navi,2024,4,15.1,402.92,0.0,0.0,0.0,0.0,15.1,402.92
Bajaj Finserv,2024,4,10.29,1819.55,0.0,0.0,0.0,0.0,10.29,1819.55
Mobikwik,2024,4,9.76,2248.19,0.0,0.0,0.0,0.0,9.76,2248.19
Groww,2024,4,8.02,5452.72,0.0,0.0,0.0,0.0,8.02,5452.72
Slice,2024,4,7.51,608.62,0.0,0.0,0.0,0.0,7.51,608.62
SBI Bank Apps,2024,4,6.49,2385.64,0.0,0.0,0.04,1.14,6.53,2386.79
IDFC First Bank Apps,2024,4,6.45,1581.78,0.0,0.0,0.0,0.0,6.45,1581.78
Samsung Pay,2024,4,6.3,527.4,0.0,0.0,0.0,0.0,6.3,527.4
Federal Bank App,2024,4,6.14,821.8,0.0,0.0,0.0,0.0,6.14,821.8
Jupiter Money,2024,4,5.92,710.69,0.0,0.0,0.0,0.0,5.92,710.69
India Post Payments Bank App,2024,4,5.08,687.52,0.0,0.0,0.0,0.0,5.08,687.52
Flipkart UPI,2024,4,3.46,174.73,0.0,0.0,0.0,0.0,3.46,174.73
Deutsche Bank App,2024,4,3.28,441.56,0.0,0.0,0.0,0.02,3.28,441.58
Canara Bank App,2024,4,3.03,812.15,0.0,0.0,0.0,0.0,3.03,812.15
Timepay,2024,4,2.15,24.14,0.0,0.0,0.0,0.1,2.16,24.25
Jio Payments Bank App,2024,4,1.87,164.17,0.0,0.0,0.0,0.0,1.87,164.17
Punjab National Bank App,2024,4,1.66,419.99,0.0,0.0,0.0,0.0,1.66,419.99
RBL Bank App,2024,4,1.46,529.18,0.0,0.01,0.11,117.1,1.57,646.29
Indian Bank App,2024,4,1.5,310.69,0.0,0.0,0.0,6.71,1.5,317.4
Union Bank Apps,2024,4,1.25,525.02,0.0,0.0,0.0,0.0,1.25,525.02
OMNI,2024,4,1.06,37.27,0.0,0.0,0.0,0.0,1.06,37.27
Bank of Baroda Apps,2024,4,0.99,459.5,0.0,0.0,0.0,8.27,0.99,467.77
Central Bank of India App,2024,4,0.89,204.45,0.0,0.0,0.0,0.0,0.89,204.45
AU Small Finance Bank App,2024,4,0.8,257.99,0.0,0.0,0.0,0.0,0.8,257.99
GoKiwi,2024,4,0.58,92.87,0.0,0.0,0.0,0.0,0.58,92.87
DBS Bank Apps,2024,4,0.46,182.52,0.0,0.0,0.0,0.38,0.47,182.89
South Indian Bank App,2024,4,0.43,129.71,0.0,0.0,0.0,0.0,0.43,129.71
Shriram One,2024,4,0.4,37.49,0.0,0.0,0.0,0.0,0.4,37.49
Fino Payments Bank App,2024,4,0.35,49.47,0.0,0.0,0.0,0.0,0.35,49.47
INDIE,2024,4,1.06,191.64,0.0,0.0,0.0,0.26,1.06,191.9
HSBC Bank App,2024,4,0.32,126.55,0.0,0.05,0.0,0.0,0.32,126.59
TataNeu,2024,4,0.32,34.06,0.0,0.0,0.0,0.0,0.32,34.06
Bank of India App,2024,4,0.21,87.25,0.0,0.0,0.0,0.0,0.21,87.25
Standard Chartered Bank App,2024,4,0.16,105.48,0.0,0.0,0.0,0.03,0.16,105.51
UCO Bank App,2024,4,0.16,54.3,0.0,0.0,0.0,0.0,0.16,54.3
Digikhata,2024,4,0.15,51.08,0.0,0.0,0.0,0.0,0.15,51.08
Karnataka Bank App,2024,4,0.15,27.18,0.0,0.0,0.0,0.0,0.15,27.18
Jupiter Money,2024,4,0.14,22.88,0.0,0.0,0.0,0.0,0.14,22.88
Dhani,2024,4,0.13,7.44,0.0,0.0,0.0,0.0,0.13,7.44
Indian Overseas Bank Apps,2024,4,0.11,30.1,0.0,0.0,0.0,0.0,0.11,30.1
Ultracash,2024,4,0.09,6.16,0.0,0.0,0.0,0.0,0.09,6.16
Tamilnad Mercantile Bank Apps,2024,4,0.09,24.69,0.0,0.0,0.0,0.0,0.09,24.69
City Union Bank App,2024,4,0.08,26.6,0.0,0.0,0.0,0.0,0.08,26.6
NSDL Payments Bank App,2024,4,0.08,11.88,0.0,0.0,0.0,0.0,0.08,11.88
Citi Bank App,2024,4,0.06,69.18,0.0,0.0,0.0,0.01,0.06,69.19
IDBI Bank App,2024,4,0.06,20.15,0.0,0.0,0.0,0.0,0.06,20.15
Bank of Maharashtra App,2024,4,0.06,13.96,0.0,0.0,0.0,0.1,0.06,14.06
Karur Vysya Bank App,2024,4,0.05,18.94,0.0,0.0,0.0,0.0,0.05,18.94
MakeMyTrip,2024,4,0.04,19.32,0.0,0.0,0.0,0.0,0.04,19.32
GoNiyo,2024,4,0.04,16.77,0.0,0.0,0.0,0.0,0.04,16.77
Equitas Small Apps,2024,4,0.03,25.52,0.0,0.0,0.0,0.0,0.03,25.52
