Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
UCO Bank App,2023,2,0.31,97.44,,,,,0.31,97.44
Ultracash,2023,2,0.03,1.67,,,,,0.03,1.67
Union Bank Apps,2023,2,0.71,280.27,,,,,0.71,280.27
Utkarsh Small Finance Bank,2023,2,0.02,9.01,,,,,0.02,9.01
WhatsApp,2023,2,11.63,970.67,,,,,11.63,970.67
Yes Bank Apps,2023,2,25.89,7481.18,,,0.66,37.06,26.55,7518.24
Others,2023,2,0.03,9.01,0.0,,0.0,0.0,0.03,9.01
PhonePe,2024,2,5760.01,915586.0,0.0,0.0,0.0,0.0,5760.01,915586.0
Google Pay,2024,2,4461.29,637219.4,46.83,45.25,0.0,0.0,4508.12,637264.65
Paytm,2024,2,1267.27,145305.47,0.17,0.09,0.55,971.93,1340.35,159569.47
Cred,2024,2,111.53,38649.61,0.0,0.0,0.0,0.0,111.53,38649.61
Amazon Pay,2024,2,59.71,6278.02,0.0,0.0,0.0,0.0,59.71,6278.02
BHIM,2024,2,56.16,9052.16,0.0,0.0,0.0,0.0,56.16,9052.16
ICICI Bank Apps,2024,2,28.95,10492.15,4.27,416.25,5.69,8779.07,38.92,19687.47
FamApp by Trio,2024,2,37.89,432.81,0.0,0.0,0.0,0.0,37.89,432.81
HDFC Bank Apps,2024,2,13.51,4283.81,23.86,71.63,0.0,0.12,37.37,4355.55
Kotak Mahindra Bank Apps,2024,2,31.5,5127.03,0.0,0.0,0.0,0.0,31.5,5127.03
Axis Bank Apps,2024,2,10.08,2290.26,20.84,6427.2,0.01,1.77,30.93,8719.23
WhatsApp,2024,2,26.76,2175.12,0.0,0.0,0.0,0.0,26.76,2175.12
Yes Bank Apps,2024,2,21.24,11308.74,0.0,0.0,0.33,36.07,21.57,11344.81
Bajaj Finserv,2024,2,19.22,2984.7,0.0,0.0,0.0,0.0,19.22,2984.7
Airtel Payments Bank Apps,2024,2,14.06,1028.15,0.0,0.0,0.0,0.17,14.07,1028.35
Mobikwik,2024,2,6.28,1793.84,0.0,0.0,0.0,0.0,6.28,1793.84
SBI Bank Apps,2024,2,6.17,2350.42,0.0,0.0,0.03,1.03,6.2,2351.46
Groww,2024,2,5.78,3042.87,0.0,0.0,0.0,0.0,5.78,3042.87
Federal Bank App,2024,2,5.74,717.81,0.0,0.0,0.0,0.0,5.74,717.81
Samsung Pay,2024,2,5.61,494.57,0.0,0.0,0.0,0.0,5.61,494.57
IDFC First Bank Apps,2024,2,5.54,1440.44,0.0,0.0,0.0,0.0,5.54,1440.44
India Post Payments Bank App,2024,2,5.38,608.29,0.0,0.0,0.0,0.0,5.38,608.29
Jupiter Money,2024,2,5.0,669.43,0.0,0.0,0.0,0.0,5.0,669.43
Standard Chartered Bank App,2024,2,3.1,675.48,0.0,0.0,0.92,911.82,4.02,1587.3
Slice,2024,2,3.98,471.27,0.0,0.0,0.0,0.0,3.98,471.27
Deutsche Bank App,2024,2,3.42,377.59,0.0,0.0,0.0,0.03,3.43,377.62
RBL Bank App,2024,2,2.62,485.29,0.0,0.01,0.2,88.75,2.82,574.05
Canara Bank App,2024,2,2.79,745.2,0.0,0.0,0.0,0.0,2.79,745.2
Freecharge #,2024,2,1.65,416.0,0.0,0.0,0.0,0.19,1.65,416.19
Jio Payments Bank App,2024,2,1.64,145.51,0.0,0.0,0.0,0.0,1.64,145.51
INDIE,2024,2,1.46,272.43,0.0,0.0,0.0,0.0,1.46,272.43
Navi,2024,2,1.42,68.62,0.0,0.0,0.0,0.0,1.42,68.62
Punjab National Bank App,2024,2,1.36,359.72,0.0,0.0,0.0,0.0,1.36,359.72
Union Bank Apps,2024,2,1.2,483.59,0.0,0.0,0.0,0.0,1.2,483.59
OMNI,2024,2,1.15,38.18,0.0,0.0,0.0,0.0,1.15,38.18
Bank of Baroda Apps,2024,2,0.76,359.31,0.0,0.0,0.0,9.93,0.76,369.24
AU Small Finance Bank App,2024,2,0.73,276.63,0.0,0.0,0.0,0.0,0.73,276.63
Central Bank of India App,2024,2,0.72,165.64,0.0,0.0,0.0,0.0,0.72,165.64
GoKiwi,2024,2,0.55,81.25,0.0,0.0,0.0,0.0,0.55,81.25
DBS Bank Apps,2024,2,0.54,201.91,0.0,0.0,0.0,0.14,0.54,202.06
Indian Bank App,2024,2,0.42,112.76,0.0,0.0,0.01,47.33,0.42,160.09
Timepay,2024,2,0.42,3.95,0.0,0.0,0.0,0.0,0.42,3.95
Karnataka Bank App,2024,2,0.41,85.93,0.0,0.0,0.0,0.0,0.41,85.93
South Indian Bank App,2024,2,0.36,104.62,0.0,0.0,0.0,0.0,0.36,104.62
Shriram One,2024,2,0.35,31.2,0.0,0.0,0.0,0.0,0.35,31.2
Fino Payments Bank App,2024,2,0.3,38.14,0.0,0.0,0.0,0.0,0.3,38.14
Bank of India App,2024,2,0.24,91.81,0.0,0.0,0.0,0.0,0.24,91.81
HSBC Bank App,2024,2,0.21,116.46,0.0,0.06,0.0,0.0,0.21,116.52
TataNeu,2024,2,0.2,17.14,0.0,0.0,0.0,0.0,0.2,17.14
Fave,2024,2,0.19,36.57,0.0,0.0,0.0,0.0,0.19,36.57
UCO Bank App,2024,2,0.17,61.26,0.0,0.0,0.0,0.0,0.17,61.26
Tamilnad Mercantile Bank Apps,2024,2,0.12,32.14,0.0,0.0,0.0,0.0,0.12,32.14
Indian Overseas Bank Apps,2024,2,0.11,29.06,0.0,0.0,0.0,0.0,0.11,29.06
Digikhata,2024,2,0.1,35.77,0.0,0.0,0.0,0.0,0.1,35.77
LivQuick PPI,2024,2,0.09,28.75,0.0,0.0,0.0,0.0,0.09,28.75
City Union Bank App,2024,2,0.08,24.75,0.0,0.0,0.0,0.0,0.08,24.75
Citi Bank App,2024,2,0.07,70.14,0.0,0.0,0.0,0.0,0.07,70.14
IDBI Bank App,2024,2,0.06,32.49,0.0,0.0,0.0,0.0,0.06,32.49
Dhani,2024,2,0.05,3.38,0.0,0.0,0.0,0.0,0.05,3.38
NSDL Payments Bank App,2024,2,0.05,6.59,0.0,0.0,0.0,0.0,0.05,6.59
Karur Vysya Bank App,2024,2,0.04,15.42,0.0,0.0,0.0,0.0,0.04,15.42
Bank of Maharashtra App,2024,2,0.04,7.68,0.0,0.0,0.0,0.0,0.04,7.68
Equitas Small Apps,2024,2,0.04,24.46,0.0,0.0,0.0,0.0,0.04,24.46
Flipkart UPI,2024,2,0.03,0.68,0.0,0.0,0.0,0.0,0.03,0.68
Punjab Sindh Bank App,2024,2,0.02,10.71,0.0,0.0,0.0,0.0,0.02,10.71
Cheq,2024,2,0.02,1.54,0.0,0.0,0.0,0.0,0.02,1.54
Niyo Global,2024,2,0.02,4.04,0.0,0.0,0.0,0.0,0.02,4.04
CBDC,2024,2,0.83,61.46,0.0,0.0,0.1,2.67,0.94,64.13
Others,2024,2,0.03,12.13,0.0,0.0,0.0,2.04,0.03,14.17
Airtel Payments Bank Apps,2022,1,8.53,2047.45,,,,,13.22,4729.77
Allahabad Bank App,2022,1,0.02,7.36,,,,,0.02,7.36
Amazon Pay,2022,1,73.5,6729.66,,,,,73.5,6729.66
AU Small Finance Bank App,2022,1,0.23,81.15,,,,,0.23,81.15
Axis Bank Apps,2022,1,6.78,1058.77,40.47,34.25,,,47.25,1093.02
Bajaj Finserv,2022,1,0.24,12.88,,,,,0.24,12.88
Bank of Baroda Apps,2022,1,0.71,342.85,,,,,0.71,342.85
Bank of India App,2022,1,0.05,20.23,,,,,0.05,20.23
Bank of Maharashtra App,2022,1,0.05,12.46,,,,,0.05,12.46
BHIM,2022,1,25.82,8511.91,,,,,25.82,8511.91
Canara Bank App,2022,1,0.26,98.95,,,,,0.26,98.95
Central Bank of India App,2022,1,0.13,47.33,,,,,0.13,47.33
Citi Bank App,2022,1,0.09,77.8,,,,,0.09,77.8
City Union Bank App,2022,1,0.02,4.92,,,,,0.02,4.92
Cointab,2022,1,1.21,179.22,,,,,1.21,179.22
Cred,2022,1,10.68,14189.86,,,,,10.68,14189.86
DBS Bank Apps,2022,1,0.51,186.79,,,,,0.51,186.79
Dena Bank App,2022,1,0.02,26.5,,,,,0.02,26.5
Deutsche Bank App,2022,1,0.92,61.95,,,,0.13,0.92,62.08
Dhanlaxmi Bank App,2022,1,0.01,2.95,,,,,0.01,2.95
Federal Bank App,2022,1,0.54,109.25,,,,,0.54,109.25
Fino Payments Bank App,2022,1,0.03,2.79,,,,,0.03,2.79
Finshell Pay,2022,1,0.07,3.69,,,,,0.07,3.69
Google Pay,2022,1,1584.2,298267.07,,,,,1584.2,298267.07
HDFC Bank Apps,2022,1,4.94,1366.89,,,,,4.94,1366.89
HSBC Bank App,2022,1,0.08,54.47,0.0,0.09,,,0.08,54.57
ICICI Bank Apps,2022,1,29.87,8491.18,3.57,215.87,,,33.43,8707.05
IDBI Bank App,2022,1,0.02,12.54,,,,,0.02,12.54
IDFC First Bank Apps,2022,1,1.22,316.37,,,,,1.22,316.37
India Post Payments Bank App,2022,1,2.65,309.42,,,,,2.65,309.42
Indian Bank App,2022,1,0.13,47.42,,,,,0.13,47.42
INDIE,2022,1,0.74,1218.79,,,,,0.74,1218.79
Jammu and Kashmir Bank App,2022,1,0.01,2.47,,,,,0.01,2.47
Janta Sahakari Bank App,2022,1,0.01,4.46,,,,,0.01,4.46
Jio Payments Bank App,2022,1,2.05,114.39,,,,,2.05,114.39
Jupiter Money,2022,1,1.02,156.15,,,,,1.02,156.15
Karnataka Bank App,2022,1,0.25,31.19,,,,,0.25,31.19
Karur Vysya Bank App,2022,1,0.04,17.37,,,,,0.04,17.37
Kotak Mahindra Bank Apps,2022,1,6.88,1333.06,,,,,6.88,1333.06
MakeMyTrip,2022,1,0.06,19.63,,,,,0.06,19.63
MI Pay,2022,1,0.27,40.51,,,,,0.27,40.51
Mobikwik,2022,1,3.87,886.55,,,,,3.87,886.55
NSDL Payments Bank App,2022,1,0.02,1.45,,,,,0.02,1.45
Paytm,2022,1,615.9,70892.01,8.0,13.36,,,710.28,85125.97
PhonePe,2022,1,2140.28,405173.78,,,,,2140.28,405173.78
Punjab National Bank App,2022,1,0.09,44.86,,,,0.0,0.09,44.86
Punjab Sindh Bank App,2022,1,0.01,2.87,,,,,0.01,2.87
RBL Bank App,2022,1,0.42,101.45,,,0.01,0.0,0.43,101.45
Samsung Pay,2022,1,3.17,431.07,,,,,3.17,431.07
South Indian Bank App,2022,1,0.13,41.4,,,,,0.13,41.4
Standard Chartered Bank App,2022,1,0.11,60.49,,,,,0.11,60.49
SBI Bank Apps,2022,1,3.62,1967.04,,,0.0,0.01,3.62,1967.05
UCO Bank App,2022,1,0.16,37.26,,,,,0.16,37.26
Ultracash,2022,1,2.14,177.63,,,,,2.14,177.63
Union Bank Apps,2022,1,0.39,182.27,,,,,0.39,182.27
WhatsApp,2022,1,2.34,205.83,,,,,2.34,205.83
Yes Bank Apps,2022,1,27.24,5816.96,0.35,0.2,,,27.59,5817.16
YuvaPay,2022,1,0.05,77.12,,,,,0.05,77.12
Others,2022,1,0.02,9.08,,,,,0.02,9.08
Airtel Payments Bank Apps,2023,1,9.77,834.52,,,0.0,0.02,9.77,834.63
Allahabad Bank App,2023,1,0.03,9.17,,,,,0.03,9.17
Amazon Pay,2023,1,57.75,5797.03,,,,,57.75,5797.03
AU Small Finance Bank App,2023,1,0.58,181.45,,,,,0.58,181.45
Axis Bank Apps,2023,1,8.24,1419.65,48.0,43.47,0.03,4.51,56.28,1467.64
Bajaj Finserv,2023,1,5.01,812.4,,,,,5.01,812.4
Bajaj Finserv,2023,1,0.01,0.5,,,,,0.01,0.5
Bandhan Bank Apps,2023,1,0.01,1.47,,,,,0.01,1.47
Bank of Baroda Apps,2023,1,1.1,423.46,,,0.0,0.0,1.1,423.46
Bank of India App,2023,1,0.24,70.34,,,,,0.24,70.34
Bank of Maharashtra App,2023,1,0.08,20.39,,,,,0.08,20.39
BHIM,2023,1,24.96,8164.65,,,,,24.96,8164.65
Canara Bank App,2023,1,1.08,289.29,,,,,1.08,289.29
Central Bank of India App,2023,1,0.31,68.65,,,0.0,0.02,0.31,68.68
Citi Bank App,2023,1,0.12,71.81,,,0.0,0.0,0.12,71.81
City Union Bank App,2023,1,0.05,15.51,,,,,0.05,15.51
Cointab,2023,1,0.05,21.16,,,,,0.05,21.16
Cred,2023,1,35.18,19106.82,,,,,35.18,19106.82
DBS Bank Apps,2023,1,0.41,174.02,,,,,0.41,174.02
Deutsche Bank App,2023,1,1.3,131.72,,,0.02,18.58,1.31,150.29
Dhanlaxmi Bank App,2023,1,0.01,2.76,,,,,0.01,2.76
Equitas Small Apps,2023,1,0.02,13.02,,,,,0.02,13.02
EROUTE,2023,1,0.08,2.29,,,,,0.08,2.29
FamApp by Trio,2023,1,12.8,175.63,,,0.0,0.01,12.8,175.64
Fave,2023,1,0.11,7.87,,,,,0.11,7.87
Federal Bank App,2023,1,4.72,604.6,,,0.0,0.0,4.72,604.61
Fino Payments Bank App,2023,1,0.11,7.51,,,,,0.11,7.51
GoIbibo,2023,1,0.01,1.6,,,,,0.01,1.6
Google Pay,2023,1,2782.42,443725.01,,,,,2782.42,443725.01
Groww,2023,1,0.19,152.17,,,,,0.19,152.17
HDFC Bank Apps,2023,1,12.3,3324.64,,,0.0,0.16,12.3,3324.81
HSBC Bank App,2023,1,0.13,75.54,0.0,0.04,0.0,0.0,0.13,75.58
ICICI Bank Apps,2023,1,32.96,8950.32,5.27,376.42,6.9,7761.41,45.14,17088.16
IDBI Bank App,2023,1,0.07,30.81,,,,,0.07,30.81
IDFC First Bank Apps,2023,1,10.82,1635.62,,,0.66,586.58,11.47,2222.2
India Post Payments Bank App,2023,1,5.43,707.37,,,,,5.43,707.37
Indian Bank App,2023,1,0.26,73.38,,,,,0.26,73.38
Indian Overseas Bank Apps,2023,1,0.01,2.31,,,,,0.01,2.31
INDIE,2023,1,0.84,962.09,,,,,0.84,962.09
Janta Sahakari Bank App,2023,1,0.01,3.98,,,,,0.01,3.98
Jio Payments Bank App,2023,1,1.59,108.84,,,,,1.59,108.84
Jupiter Money,2023,1,2.49,323.88,,,,,2.49,323.88
Karnataka Bank App,2023,1,0.4,85.81,,,,,0.4,85.81
Karur Vysya Bank App,2023,1,0.04,15.27,,,,,0.04,15.27
Kotak Mahindra Bank Apps,2023,1,12.14,2612.59,,,0.0,0.01,12.14,2612.6
MakeMyTrip,2023,1,0.08,35.59,,,,,0.08,35.59
Mobikwik,2023,1,3.49,785.48,,,,,3.49,785.48
NSDL Payments Bank App,2023,1,0.02,3.0,,,,,0.02,3.0
Paytm,2023,1,1076.75,119647.31,7.75,18.1,0.46,638.22,1190.89,139673.0
PhonePe,2023,1,3802.67,651108.51,,,,,3802.67,651108.51
Punjab National Bank App,2023,1,0.25,82.15,,,0.0,0.0,0.25,82.15
Punjab Sindh Bank App,2023,1,0.04,13.08,,,,,0.04,13.08
RBL Bank App,2023,1,1.22,241.36,0.0,0.0,0.09,1.52,1.32,242.88
Samsung Pay,2023,1,5.52,523.73,,,,,5.52,523.73
Slash,2023,1,0.01,0.68,,,,,0.01,0.68
Slice,2023,1,0.22,45.82,,,,,0.22,45.82
South Indian Bank App,2023,1,0.19,56.75,,,,,0.19,56.75
Standard Chartered Bank App,2023,1,0.15,85.16,0.0,0.0,,,0.15,85.16
SBI Bank Apps,2023,1,4.06,1901.92,,,0.0,0.0,4.06,1901.92
Tamilnad Mercantile Bank Apps,2023,1,0.07,11.67,,,,,0.07,11.67
TataNeu,2023,1,0.11,14.79,,,,,0.11,14.79
Transerv,2023,1,0.01,0.71,,,,,0.01,0.71
UCO Bank App,2023,1,0.32,101.06,,,,,0.32,101.06
Ultracash,2023,1,0.04,2.25,,,,,0.04,2.25
Union Bank Apps,2023,1,0.8,303.93,,,,,0.8,303.93
Utkarsh Small Finance Bank,2023,1,0.02,8.35,,,,,0.02,8.35
WhatsApp,2023,1,11.47,963.12,,,,,11.47,963.12
Yes Bank Apps,2023,1,33.37,12047.35,,,0.59,69.27,33.96,12116.61
Others,2023,1,0.02,5.57,0.0,0.0,0.0,0.0,0.02,5.57
PhonePe,2024,1,5734.54,906793.76,0.0,0.0,0.0,0.0,5734.54,906793.76
Google Pay,2024,1,4442.86,635945.58,0.0,0.0,0.0,0.0,4442.86,635945.58
Paytm,2024,1,1442.41,164333.33,3.98,8.32,0.72,1291.06,1569.63,192614.74
Cred,2024,1,108.86,38229.82,0.0,0.0,0.0,0.0,108.86,38229.82
Axis Bank Apps,2024,1,13.31,2775.63,66.84,2943.22,0.02,2.72,80.17,5721.57
Amazon Pay,2024,1,59.48,6288.95,0.0,0.0,0.0,0.0,59.48,6288.95
ICICI Bank Apps,2024,1,28.93,12995.05,4.68,527.09,7.01,10593.84,40.62,24115.98
FAM,2024,1,36.62,418.33,0.0,0.0,0.0,0.0,36.62,418.33
HDFC Bank Apps,2024,1,25.05,5458.04,5.92,17.83,0.0,0.08,30.98,5475.95
BHIM,2024,1,29.98,8778.61,0.0,0.0,0.0,0.0,29.98,8778.61
Kotak Mahindra Bank Apps,2024,1,28.24,4981.01,0.0,0.0,0.0,0.0,28.24,4981.01
WhatsApp,2024,1,26.08,2132.83,0.0,0.0,0.0,0.0,26.08,2132.83
Yes Bank Apps,2024,1,23.01,11585.54,0.0,0.0,0.27,33.23,23.28,11618.77
Bajaj Finserv,2024,1,19.87,2737.66,0.0,0.0,0.0,0.0,19.87,2737.66
Airtel Payments Bank Apps,2024,1,13.24,902.32,0.0,0.0,0.0,0.08,13.24,902.43
Groww,2024,1,9.41,6540.35,0.0,0.0,0.0,0.0,9.41,6540.35
SBI Bank Apps,2024,1,6.1,2425.87,0.0,0.0,0.03,0.87,6.13,2426.73
Samsung Pay,2024,1,5.73,518.32,0.0,0.0,0.0,0.0,5.73,518.32
IDFC First Bank Apps,2024,1,5.47,1448.5,0.0,0.0,0.0,0.0,5.47,1448.5
Federal Bank App,2024,1,5.33,674.05,0.0,0.0,0.0,0.0,5.33,674.05
Mobikwik,2024,1,5.19,1625.48,0.0,0.0,0.0,0.0,5.19,1625.48
Jupiter Money,2024,1,4.97,665.54,0.0,0.0,0.0,0.0,4.97,665.54
India Post Payments Bank App,2024,1,4.69,461.95,0.0,0.0,0.0,0.0,4.69,461.95
Deutsche Bank App,2024,1,3.89,294.6,0.0,0.0,0.0,0.03,3.89,294.63
Standard Chartered Bank App,2024,1,2.61,195.77,0.0,0.0,1.07,550.69,3.68,746.46
RBL Bank App,2024,1,3.15,739.53,0.0,0.03,0.2,46.97,3.35,786.52
Canara Bank App,2024,1,2.62,758.31,0.0,0.0,0.0,0.0,2.62,758.31
Slice,2024,1,2.01,407.98,0.0,0.0,0.0,0.0,2.01,407.98
Jio Payments Bank App,2024,1,1.51,137.62,0.0,0.0,0.0,0.0,1.51,137.62
Punjab National Bank App,2024,1,1.32,335.6,0.0,0.0,0.0,0.0,1.32,335.6
Indian Bank App,2024,1,1.29,311.48,0.0,0.0,0.0,10.91,1.29,322.39
Slice,2024,1,1.26,41.97,0.0,0.0,0.0,0.0,1.26,41.97
OMNI,2024,1,1.15,37.16,0.0,0.0,0.0,0.0,1.15,37.16
Bank of Baroda Apps,2024,1,1.14,505.93,0.0,0.0,0.0,10.66,1.14,516.58
Union Bank Apps,2024,1,1.11,451.7,0.0,0.0,0.0,0.0,1.11,451.7
Navi,2024,1,0.96,54.5,0.0,0.0,0.0,0.0,0.96,54.5
GoKiwi,2024,1,0.74,105.76,0.0,0.0,0.0,0.0,0.74,105.76
DBS Bank Apps,2024,1,0.7,252.85,0.0,0.0,0.0,1.8,0.7,254.66
Karnataka Bank App,2024,1,0.67,144.11,0.0,0.0,0.0,0.0,0.67,144.11
AU Small Finance Bank App,2024,1,0.66,259.49,0.0,0.0,0.0,0.0,0.66,259.49
Central Bank of India App,2024,1,0.63,150.41,0.0,0.0,0.0,0.0,0.63,150.41
Shriram One,2024,1,0.59,31.86,0.0,0.0,0.0,0.0,0.59,31.86
FIFEDERAL,2024,1,0.47,57.15,0.0,0.0,0.0,0.0,0.47,57.15
BPAYWALLET,2024,1,0.43,88.49,0.0,0.0,0.0,0.0,0.43,88.49
MBK,2024,1,0.39,57.77,0.0,0.0,0.0,0.0,0.39,57.77
South Indian Bank App,2024,1,0.33,105.23,0.0,0.0,0.0,0.0,0.33,105.23
Bank of India App,2024,1,0.29,108.18,0.0,0.0,0.0,0.0,0.29,108.18
Fino Payments Bank App,2024,1,0.29,31.67,0.0,0.0,0.0,0.0,0.29,31.67
INDIE,2024,1,0.25,42.84,0.0,0.0,0.0,0.0,0.25,42.84
UCO Bank App,2024,1,0.21,76.62,0.0,0.0,0.0,0.0,0.21,76.62
HSBC Bank App,2024,1,0.2,117.97,0.0,0.03,0.0,0.0,0.2,118.0
Tamilnad Mercantile Bank Apps,2024,1,0.12,32.85,0.0,0.0,0.0,0.0,0.12,32.85
Indian Overseas Bank Apps,2024,1,0.11,29.92,0.0,0.0,0.0,0.0,0.11,29.92
Ultracash,2024,1,0.08,5.95,0.0,0.0,0.0,0.0,0.08,5.95
Citi Bank App,2024,1,0.08,79.39,0.0,0.0,0.0,0.0,0.08,79.39
Digikhata,2024,1,0.08,30.34,0.0,0.0,0.0,0.0,0.08,30.34
TataNeu,2024,1,0.08,11.48,0.0,0.0,0.0,0.0,0.08,11.48
City Union Bank App,2024,1,0.08,25.49,0.0,0.0,0.0,0.0,0.08,25.49
IDBI Bank App,2024,1,0.08,42.31,0.0,0.0,0.0,0.0,0.08,42.31
Jupiter Money,2024,1,0.05,14.71,0.0,0.0,0.0,0.0,0.05,14.71
Karur Vysya Bank App,2024,1,0.04,15.23,0.0,0.0,0.0,0.0,0.04,15.23
NSDL Payments Bank App,2024,1,0.04,5.77,0.0,0.0,0.0,0.0,0.04,5.77
Bank of Maharashtra App,2024,1,0.04,8.06,0.0,0.0,0.0,0.0,0.04,8.06
Dhani,2024,1,0.04,2.71,0.0,0.0,0.0,0.0,0.04,2.71
Paytm,2024,1,0.03,3.11,0.0,0.0,0.0,0.0,0.03,3.11
MakeMyTrip,2024,1,0.03,15.48,0.0,0.0,0.0,0.0,0.03,15.48
Equitas Small Apps,2024,1,0.03,23.19,0.0,0.0,0.0,0.0,0.03,23.19
Timepay,2024,1,0.03,0.33,0.0,0.0,0.0,0.0,0.03,0.33
Allahabad Bank App,2024,1,0.03,6.51,0.0,0.0,0.0,0.0,0.03,6.51
Others,2024,1,0.13,31.46,0.0,0.0,0.0,0.0,0.13,31.46
CBDC,2024,1,0.8,46.45,0.0,0.0,0.07,1.63,0.88,48.08
Airtel Payments Bank Apps,2022,7,7.4,555.09,,,0.0,0.0,7.41,555.26
Allahabad Bank App,2022,7,0.03,6.95,,,,,0.03,6.95
Amazon Pay,2022,7,68.77,6751.8,,,,,68.77,6751.8
AU Small Finance Bank App,2022,7,0.42,131.49,,,,,0.42,131.49
Axis Bank Apps,2022,7,7.35,1174.32,46.63,38.1,0.02,1.53,53.99,1213.95
Bajaj Finserv,2022,7,1.95,128.52,,,,,1.95,128.52
Bajaj Finserv,2022,7,0.02,1.66,,,,,0.02,1.66
Bandhan Bank Apps,2022,7,0.01,1.35,,,,,0.01,1.35
Bank of Baroda Apps,2022,7,0.88,354.45,,,0.0,0.0,0.88,354.45
Bank of India App,2022,7,0.15,46.44,,,,,0.15,46.44
Bank of Maharashtra App,2022,7,0.06,16.47,,,,,0.06,16.47
BHIM,2022,7,24.48,7823.95,,,,,24.48,7823.95
Canara Bank App,2022,7,0.47,128.79,,,,,0.47,128.79
Central Bank of India App,2022,7,0.22,58.37,,,0.0,0.0,0.22,58.37
Citi Bank App,2022,7,0.11,63.66,,,0.0,0.0,0.11,63.66
City Union Bank App,2022,7,0.03,10.19,,,,,0.03,10.19
Cointab,2022,7,0.07,27.3,,,,,0.07,27.3
Cred,2022,7,14.89,19716.43,,,,,14.89,19716.43
DBS Bank Apps,2022,7,0.47,179.27,,,,,0.47,179.27
Deutsche Bank App,2022,7,1.87,116.0,,,0.0,0.01,1.87,116.01
Dhanlaxmi Bank App,2022,7,0.01,2.86,,,,,0.01,2.86
Equitas Small Apps,2022,7,0.01,4.89,,,,,0.01,4.89
Fave,2022,7,0.16,11.06,,,,,0.16,11.06
Federal Bank App,2022,7,3.85,539.55,,,0.0,0.0,3.85,539.55
Fino Payments Bank App,2022,7,0.06,4.26,,,,,0.06,4.26
GoIbibo,2022,7,0.01,5.1,,,,,0.01,5.1
Google Pay,2022,7,2130.63,366669.09,,,,,2130.63,366669.09
Groww,2022,7,0.49,290.31,,,,,0.49,290.31
HDFC Bank Apps,2022,7,9.38,2341.28,,,,,9.38,2341.28
HSBC Bank App,2022,7,0.11,68.43,0.0,0.04,0.0,0.0,0.11,68.47
ICICI Bank Apps,2022,7,32.53,7745.19,0.46,32.24,4.36,3731.87,37.34,11509.29
IDBI Bank App,2022,7,0.03,16.42,,,,,0.03,16.42
IDFC First Bank Apps,2022,7,8.28,645.34,,,0.0,0.0,8.28,645.34
India Post Payments Bank App,2022,7,4.08,480.59,,,,,4.08,480.59
Indian Bank App,2022,7,0.2,58.15,,,0.01,13.23,0.21,71.39
Indian Overseas Bank Apps,2022,7,0.01,3.74,,,,,0.01,3.74
INDIE,2022,7,0.99,1652.26,,,,,0.99,1652.26
Janta Sahakari Bank App,2022,7,0.01,4.15,,,,,0.01,4.15
Jio Payments Bank App,2022,7,1.9,116.59,,,,,1.9,116.59
Jupiter Money,2022,7,2.1,254.14,,,,,2.1,254.14
Karnataka Bank App,2022,7,0.35,48.01,,,,,0.35,48.01
Karur Vysya Bank App,2022,7,0.04,15.66,,,,,0.04,15.66
Kotak Mahindra Bank Apps,2022,7,8.86,1815.87,,,0.0,0.46,8.86,1816.33
MakeMyTrip,2022,7,0.13,58.19,,,,,0.13,58.19
MI Pay,2022,7,0.16,26.98,,,,,0.16,26.98
Mobikwik,2022,7,2.48,462.17,,,,,2.48,462.17
NSDL Payments Bank App,2022,7,0.02,3.5,,,,,0.02,3.5
Paytm,2022,7,828.63,94507.77,0.55,1.91,0.38,465.62,933.88,111149.66
PhonePe,2022,7,2993.83,524742.49,,,,,2993.83,524742.49
Punjab National Bank App,2022,7,0.07,35.7,,,,,0.07,35.7
Punjab Sindh Bank App,2022,7,0.01,4.03,,,,,0.01,4.03
RBL Bank App,2022,7,0.52,120.48,,,0.02,0.69,0.54,121.17
Samsung Pay,2022,7,4.05,472.39,,,,,4.05,472.39
South Indian Bank App,2022,7,0.15,46.97,,,,,0.15,46.97
Standard Chartered Bank App,2022,7,0.14,74.11,,,,,0.14,74.11
SBI Bank Apps,2022,7,4.15,2013.47,,,0.0,0.0,4.15,2013.47
Tamilnad Mercantile Bank Apps,2022,7,0.05,6.78,,,,,0.05,6.78
TataNeu,2022,7,0.11,17.26,,,,,0.11,17.26
TJSB Bank Apps,2022,7,0.01,2.26,,,,,0.01,2.26
UCO Bank App,2022,7,0.22,46.83,,,,,0.22,46.83
Ultracash,2022,7,0.03,2.08,,,,,0.03,2.08
Union Bank Apps,2022,7,0.49,208.03,,,,,0.49,208.03
Utkarsh Small Finance Bank,2022,7,0.02,4.55,,,,,0.02,4.55
WhatsApp,2022,7,6.18,502.0,,,,,6.18,502.0
Yes Bank Apps,2022,7,55.35,13868.41,0.0,0.0,5.45,1367.63,60.8,15236.04
YuvaPay,2022,7,0.01,21.38,,,,,0.01,21.38
Others,2022,7,0.02,5.15,,,,,0.02,5.15
PhonePe,2023,7,4743.66,761247.87,0.0,0.0,0.0,0.0,4743.66,761247.87
Google Pay,2023,7,3494.64,518095.1,0.0,0.0,0.0,0.0,3494.64,518095.1
